company,job_role,domain,required_skills,type,apply_link
Zoho,Frontend Developer,Web Development,html,css,javascript,Startup,https://careers.zoho.com
Wipro,Frontend Developer,Web Development,html,css,javascript,MNC,https://careers.wipro.com
Infosys,Frontend Developer,Web Development,html,css,javascript,MNC,https://www.infosys.com/careers
Amazon,Frontend Developer,Web Development,html,css,javascript,MNC,https://www.amazon.jobs

TCS,Data Analyst,Data Science,python,sql,statistics,MNC,https://www.tcs.com/careers
Infosys,Data Analyst,Data Science,python,sql,statistics,MNC,https://www.infosys.com/careers

Zoho,ML Engineer,AI / ML,python,ml,deep learning,Startup,https://careers.zoho.com
Amazon,ML Engineer,AI / ML,python,ml,deep learning,MNC,https://www.amazon.jobs
